Designator,Mid X,Mid Y,Rotation,Layer
BZ1,-7.249999,4.750001,45.0,bottom
C1,-20.499999,-0.999999,270.0,bottom
C10,16.000001,19.750001,180.0,top
C11,-15.749999,11.250001,180.0,bottom
C12,-1.249999,-7.749999,0.0,bottom
C13,-2.749999,13.750001,0.0,bottom
C14,-6.999999,3.000001,225.0,top
C15,-14.249999,22.250001,0.0,bottom
C16,-15.499999,17.750001,90.0,top
C17,-5.499999,-16.499999,90.0,bottom
C18,1.250001,-20.749999,180.0,bottom
C19,-4.749999,-4.499999,180.0,bottom
C2,3.750001,-18.499999,270.0,top
C20,-6.999999,15.000001,135.0,top
C21,-18.999999,15.000001,45.0,top
C22,-18.999999,3.000001,135.0,top
C23,-15.749999,19.250001,180.0,bottom
C24,-20.249999,13.750001,180.0,bottom
C25,-11.249999,17.250001,180.0,bottom
C26,-20.249999,15.500001,0.0,bottom
C27,-20.249999,-25.749999,270.0,bottom
C28,9.000001,19.750001,180.0,top
C29,2.000001,19.750001,180.0,top
C3,3.750001,-14.249999,270.0,top
C4,5.000001,23.500001,180.0,bottom
C5,0.5,-12.25,135.0,top
C6,1.500001,-18.499999,90.0,top
C7,22.250001,-10.999999,180.0,bottom
C8,1.000001,-21.749999,180.0,top
C9,19.000001,-16.999999,270.0,bottom
D1,-0.749999,-18.499999,90.0,top
D10,-9.25,-15.75,90.0,top
D11,-5.75,-15.75,90.0,top
D12,-7.5,-15.75,90.0,top
D13,-2.749999,17.250001,180.0,top
D14,-4.749999,-7.999999,90.0,bottom
D15,-20.249999,19.250001,0.0,top
D16,-20.249999,17.500001,0.0,top
D2,7.750001,-11.999999,0.0,bottom
D3,15.000001,-11.999999,0.0,bottom
D4,-13.749999,-4.999999,90.0,top
D5,-11.999999,-4.999999,90.0,top
D6,-10.249999,-4.999999,90.0,top
D7,-14.749999,31.000001,180.0,bottom
D8,-5.499999,-12.499999,90.0,bottom
D9,-8.499999,-4.999999,90.0,top
F1,2.000001,3.000001,270.0,top
F2,9.250001,3.000001,270.0,top
J1,21.500001,-7.749999,270.0,top
J10,21.500001,20.250001,270.0,top
J11,16.000001,26.000001,0.0,top
J12,-14.249999,-24.749999,0.0,top
J13,-1.749999,-24.749999,0.0,top
J14,-2.999999,26.000001,0.0,top
J15,7.000001,26.000001,0.0,top
J2,21.500001,5.750001,270.0,top
J3,21.500001,-21.249999,270.0,top
J4,-14.249999,24.750001,180.0,top
J5,21.250001,-0.999999,90.0,top
J6,21.250001,12.500001,90.0,top
J7,21.250001,-14.499999,90.0,top
J8,12.500001,-25.999999,180.0,top
J9,-0.384999,0.0,90.0,top
MD1,12.250001,-17.499999,90.0,top
Q1,7.000001,-19.739999,270.0,bottom
Q10,19.000001,29.250001,0.0,bottom
Q2,14.250001,-19.739999,270.0,bottom
Q3,-17.249999,-9.999999,90.0,bottom
Q4,-12.999999,28.000001,0.0,bottom
Q5,-18.749999,28.250001,90.0,bottom
Q6,-7.749999,15.750001,90.0,bottom
Q7,-4.249999,29.250001,0.0,bottom
Q8,11.250001,29.250001,0.0,bottom
Q9,3.500001,29.250001,0.0,bottom
R1,-15.749999,-2.749999,270.0,bottom
R10,13.500001,-8.499999,90.0,top
R11,-13.749999,-1.749999,90.0,top
R12,-17.249999,-5.249999,0.0,bottom
R13,-17.249999,-6.999999,0.0,bottom
R14,-11.999999,-1.749999,90.0,top
R15,-15.999999,28.000001,270.0,bottom
R16,-10.249999,-1.749999,90.0,top
R17,-1.249999,-9.499999,180.0,bottom
R18,-1.249999,-5.999999,0.0,bottom
R19,-2.749999,19.000001,180.0,bottom
R2,-20.999999,-4.999999,270.0,bottom
R20,-2.749999,15.500001,0.0,bottom
R21,-20.499999,25.250001,270.0,bottom
R22,-8.499999,-1.749999,90.0,top
R23,-9.25,-12.5,90.0,top
R24,-5.75,-12.5,90.0,top
R25,-7.5,-12.5,90.0,top
R26,-2.749999,17.250001,180.0,bottom
R27,-18.749999,31.250001,0.0,bottom
R28,10.25,-5.75,0.0,bottom
R29,-7.779999,20.500001,180.0,bottom
R3,3.0,-5.75,0.0,bottom
R30,-7.749999,18.750001,0.0,bottom
R31,-8.999999,29.250001,90.0,bottom
R32,-7.249999,29.250001,270.0,bottom
R33,6.500001,29.250001,270.0,bottom
R34,8.250001,29.250001,270.0,bottom
R35,-1.249999,29.250001,270.0,bottom
R36,0.500001,29.250001,270.0,bottom
R37,-11.249999,13.750001,0.0,bottom
R38,-11.249999,15.500001,0.0,bottom
R39,-20.249999,19.250001,0.0,bottom
R4,4.750001,-11.499999,270.0,bottom
R40,-20.249999,17.500001,0.0,bottom
R41,14.250001,29.250001,270.0,bottom
R42,16.000001,29.250001,270.0,bottom
R5,12.000001,-11.499999,270.0,bottom
R6,-9.999999,1.250001,180.0,top
R7,-20.999999,-8.999999,270.0,bottom
R8,17.000001,-8.499999,270.0,top
R9,15.250001,-8.499999,90.0,top
SW1,-18.999999,-0.999999,0.0,top
SW2,-18.999999,-4.999999,0.0,top
SW3,-18.999999,-8.999999,0.0,top
SW4,-13.499999,-15.749999,90.0,top
SW5,-18.999999,-15.749999,90.0,top
U1,-12.999999,9.000001,90.0,top
U2,-0.499999,-14.999999,270.0,bottom
U3,-15.749999,15.500001,180.0,bottom
U4,2.0,1.75,180.0,top
U5,9.25,1.75,180.0,top
Y1,-4.499999,7.500001,90.0,top
